id;unid_especializada;data_do_fato;data_instauracao;data_conclusao;prazo_inquerito;zona_ur;preservacao_local_crime;laudo_pericial_local;laudo_cadaverico;coleta_vestigios;testemunhas_ouvidas;testemunha_ocular_sn;familiares_ouvidos_sn;oitiva_suspeitos_sn;sigilo_telefonico;resultado_qst;relevancia_qst;sigilo_telematico;resultado_qstelematico;relevancia_qstelematico;sigilo_bancario;resultado_qsb;relevancia_qsb;analise_geolocalizacao;resultado_geolocalizacao;relevancia_geolocalizacao;imagens_câmera;interceptacao_telefonica;cruzamentos_dados;softwares_analise;laudos_complementares;balistica;papiloscopico;dna;toxicologico;diligencias_patrimoniais;bloqueio_ativos;vigilancias;busca_apreensao;prisao_temporaria;prisao_preventiva;apoio_especializado;cooperacao_externa;elucidado_sn;arquivamento
IPL001;1;13/02/2021;19/02/2021;19/07/2021;150;U;0;0;1;1;4;1;1;1;0;-;-;0;-;-;0;-;-;1;1;1;0;1;1;0;1;0;1;0;0;0;0;0;1;0;1;0;0;1;0
IPL002;1;23/09/2021;29/09/2021;09/08/2022;314;R;1;1;1;1;13;0;1;1;0;-;-;0;-;-;0;-;-;0;-;-;0;0;0;0;1;0;1;0;0;0;0;0;1;1;1;0;0;1;0
IPL003;1;30/01/2021;01/02/2021;02/02/2021;1;R;0;0;0;1;2;0;0;1;0;-;-;0;-;-;0;-;-;-;-;-;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0
IPL004;1;08/01/2021;08/01/2021;11/02/2021;34;U;1;1;1;1;4;1;1;1;0;-;-;0;-;-;0;-;-;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0
IPL005;1;03/04/2021;05/04/2021;30/04/2021;25;U;0;0;1;1;7;1;1;1;0;-;-;0;-;-;0;-;-;0;-;-;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
IPL006;1;05/092021;24/07/2021;22/09/2021;60;U;0;1;1;1;5;1;1;1;0;-;-;0;-;-;0;-;-;0;-;-;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0
IPL007;1;11/01/2021;13/01/2021;13/04/2021;90;U;1;1;1;1;10;1;1;1;0;-;-;1;1;1;0;-;-;0;-;-;1;0;1;1;1;0;0;0;0;0;0;0;1;1;0;0;1;1;0
IPL008;1;25/07/2021;26/07/2021;31/08/2021;36;U;0;0;0;0;4;1;1;1;0;-;-;0;-;-;0;-;-;0;-;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0
IPL009;1;17/01/2021;18/01/2021;26/03/2021;67;U;0;1;1;1;14;1;1;1;0;-;-;1;1;1;0;-;-;0;-;-;1;0;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0;1;0
IPL010;1;11/04/2021;12/04/2021;18/05/2021;36;U;0;1;1;1;6;1;1;1;0;-;-;1;1;1;0;-;-;0;-;-;1;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0
IPL011;0;27/10/2021;27/10/2021;10/06/2022;226;U;0;0;0;0;6;1;1;1;1;1;0;1;1;0;0;-;-;1;-;-;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1
IPL012;0;29/07/2021;29/07/2021;16/11/2021;110;U;1;0;0;1;3;0;1;1;0;-;-;0;-;-;0;-;-;0;-;-;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;1;0
IPL013;0;10/04/2021;12/04/2021;28/07/2021;107;R;1;1;1;1;4;1;1;1;0;-;-;0;-;-;0;-;-;1;1;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0
IPL014;0;24/02/2021;25/02/2021;26/07/2021;151;U;1;1;1;1;2;0;0;0;0;-;-;0;-;-;0;-;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0
IPL015;1;20/09/2021;24/03/2021;15/12/2021;266;U;0;0;1;1;8;1;1;1;0;-;-;0;-;-;0;-;-;0;-;-;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0
IPL016;1;11/09/2021;13/09/2021;23/11/2021;71;R;1;1;1;0;3;1;1;0;0;-;-;0;-;-;0;-;-;0;-;-;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1
IPL017;1;26/11/2021;02/12/2021;28/01/2022;57;R;0;1;1;5;0;1;1;1;0;-;-;0;-;-;0;-;-;1;1;1;1;0;1;1;1;1;1;0;0;0;0;0;1;0;1;1;0;1;0
IPL018;0;09/12/2021;09/12/2021;20/04/2022;132;U;1;1;1;1;1;1;1;0;0;-;-;0;-;-;0;-;-;0;-;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
IPL019;0;16/12/2021;20/12/2021;25/08/2023;613;R;1;1;1;1;4;1;1;0;0;-;-;1;-;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
IPL020;1;01/12/2021;07/12/2021;23/05/2023;532;U;1;1;1;1;7;0;1;0;0;-;-;0;-;-;0;-;-;0;-;-;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
IPL021;1;26/05/2021;05/07/2021;05/07/2021;0;U;1;0;0;1;0;1;1;0;0;-;-;0;-;-;0;-;-;1;-;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
IPL022;1;11/01/2021;13/01/2021;28/02/2025;1507;U;1;1;1;1;1;1;1;0;0;-;-;0;-;-;0;-;-;0;-;-;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1
IPL023;1;01/07/2021;05/07/2021;23/12/2023;901;R;0;1;1;1;4;1;1;0;0;-;-;0;-;-;0;-;-;0;-;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
IPL024;1;04/09/2021;08/09/2021;25/6/2024;1021;U;0;0;1;1;2;1;1;0;0;-;-;0;-;-;0;-;-;0;-;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
IPL025;1;15/09/2021;17/09/2021;19/06/2024;1006;U;0;0;1;1;2;0;1;0;0;-;-;0;-;-;0;-;-;0;-;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
IPL026;1;11/08/2021;16/08/2021;23/09/2021;38;U;1;1;1;1;2;0;1;0;0;-;-;0;-;-;0;-;-;1;1;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1
IPL027;1;05/12/2021;07/12/2021;20/01/2023;409;U;0;0;1;1;5;1;1;0;0;-;-;0;-;-;0;-;-;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
IPL028;1;15/09/2021;17/09/2021;22/04/2025;1313;U;1;1;1;1;8;0;1;0;0;-;-;0;-;-;0;-;-;0;-;-;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
IPL029;1;12/01/2021;18/01/2021;19/04/2025;1552;U;1;1;1;1;5;0;1;1;0;-;-;0;-;-;0;-;-;0;-;-;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;1
IPL030;0;29/12/2021;03/01/2022;25/11/2024;1057;U;0;1;1;1;1;1;1;0;0;-;-;0;-;-;0;-;-;0;-;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
IPL031;0;01/03/2021;02/03/2021;25/11/2024;1364;U;1;1;1;1;1;0;1;1;0;-;-;0;-;-;0;-;-;0;-;-;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1
IPL032;0;02/02/2021;04/03/2021;08/08/2021;157;R;1;1;1;0;3;0;1;0;0;-;-;0;-;-;0;-;-;0;-;-;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1
IPL033;0;06/05/2021;24/06/2021;24/01/2022;214;R;1;1;1;1;2;0;1;0;0;-;-;0;-;-;0;-;-;0;-;-;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
IPL034;1;09/03/2021;10/03/2021;16/01/2023;677;U;0;1;1;1;6;0;1;0;0;-;-;0;-;-;0;-;-;0;-;-;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;1
IPL035;1;19/10/2021;20/10/2021;21/08/2024;1036;U;0;0;1;0;7;0;1;0;0;-;-;0;-;-;0;-;-;0;-;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
IPL036;0;24/07/2022;21/07/2022;10/08/2022;20;U;0;0;1;1;4;1;1;0;0;-;-;0;-;-;0;-;-;0;-;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
IPL037;0;29/06/2022;29/06/2022;22/03/2023;266;U;1;1;1;1;8;1;1;0;0;-;-;0;-;-;0;-;-;0;-;-;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;0;0;1;0
IPL038;1;14/07/2022;19/07/2022;20/07/2022;1;U;0;1;1;1;4;1;1;1;0;-;-;0;-;-;0;-;-;0;-;-;1;0;0;0;1;0;1;0;0;0;0;0;1;0;1;0;0;1;0
IPL039;1;21/10/2022;05/01/2023;09/04/2024;460;U;0;1;1;1;10;1;1;0;1;1;1;0;-;-;1;1;0;0;-;-;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1
IPL040;1;19/09/2022;14/12/2022;02/09/2024;628;R;1;1;1;1;2;0;1;1;1;1;1;1;1;1;0;-;-;1;1;1;0;0;1;1;1;1;1;0;0;0;0;0;1;0;1;1;1;1;0
IPL041;1;18/08/2022;29/08/2022;05/02/2025;891;U;0;1;1;1;4;1;1;1;0;-;-;0;-;-;-;-;-;0;-;-;0;0;1;0;1;1;0;0;1;0;0;0;1;0;1;0;0;1;0
IPL042;1;08/01/2022;10/01/2022;27/07/2022;198;U;1;1;1;1;4;0;1;1;0;-;-;0;-;-;0;-;-;1;1;1;0;0;1;1;1;1;0;0;0;0;0;0;0;0;1;0;0;1;0
IPL043;1;15/06/2022;20/06/2022;06/02/2025;962;R;1;1;1;1;7;1;1;1;0;-;-;0;-;-;0;-;-;0;-;-;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0
IPL044;1;05/01/2021;13/01/2022;21/02/2022;39;U;1;1;1;1;5;1;1;1;0;-;-;0;-;-;0;-;-;0;-;-;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;1;0
IPL045;1;21/03/2022;24/03/2022;14/01/2025;1027;U;1;1;1;1;7;0;1;1;1;1;1;1;1;1;0;-;-;0;-;-;0;0;1;0;1;1;0;0;0;0;1;0;1;0;1;0;1;1;0
IPL046;1;13/01/2022;18/01/2022;27/08/2024;952;U;1;1;1;1;2;0;0;0;0;-;-;1;1;1;0;-;-;0;-;-;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0
IPL047;1;26/05/2022;26/05/2022;16/06/2025;1117;U;1;1;1;1;6;0;1;1;1;1;1;1;1;1;0;-;-;0;-;-;0;0;0;0;1;1;1;0;1;0;0;0;1;0;0;0;0;1;0
IPL048;0;15/10/2022;18/10/2022;20/03/2023;153;R;0;0;0;0;2;1;1;1;0;-;-;0;-;-;0;-;-;0;-;-;0;0;0;0;1;0;0;0;0;0;0;0;1;0;-;0;0;1;0
IPL049;0;31/07/2022;31/07/2022;15/03/2023;227;U;0;0;1;0;4;1;1;1;0;-;-;0;-;-;0;-;-;0;-;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;0;0;1;0
IPL050;0;02/08/2022;29/09/2022;28/09/2023;364;U;1;1;1;1;3;0;1;1;1;1;0;1;1;0;0;-;-;1;1;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;1;1;0
